collision_index,collision_year,collision_ref_no,vehicle_reference,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_imd_decile,lsoa_of_casualty,enhanced_casualty_severity,casualty_injury_based,casualty_adjusted_severity_serious,casualty_adjusted_severity_slight,casualty_distance_banding
2024131511298,2024,131511298,1,1,3,1,78,11,3,8,7,0,0,-1,0,4,E01011238,3,1,0,1,1
2024010492221,2024,010492221,1,1,1,-1,41,7,3,0,0,0,0,0,3,-1,-1,3,1,0,1,-1
2024411445377,2024,411445377,1,1,1,1,43,7,3,0,0,0,0,0,5,8,E01023678,3,1,0,1,1
2024631486611,2024,631486611,2,1,1,1,57,9,1,0,0,0,0,0,8,5,W01000576,1,1,0,0,2
2024421424012,2024,421424012,1,1,1,2,19,4,3,0,0,0,0,0,9,6,E01021571,3,1,0,1,1
2024421431919,2024,421431919,2,1,1,2,25,5,3,0,0,0,0,0,9,2,E01035163,3,1,0,1,2
2024411427480,2024,411427480,1,1,3,2,16,4,2,1,3,0,0,-1,0,9,E01023493,7,1,1,0,1
2024122400385,2024,122400385,1,1,1,1,65,9,2,0,0,0,0,0,5,5,E01027793,-1,0,1,0,4
2024311454046,2024,311454046,2,2,2,2,71,10,2,0,0,1,0,0,9,3,E01028297,5,1,1,0,3
2024430603359,2024,430603359,1,1,1,1,73,10,2,0,0,0,0,0,9,5,E01018069,-1,0,1,0,5
2024991409975,2024,991409975,3,4,1,2,39,7,3,0,0,0,0,0,9,10,-1,3,1,0,1,1
2024010494137,2024,010494137,1,1,1,1,23,5,3,0,0,0,0,0,9,2,E01003619,3,1,0,1,1
2024010537629,2024,010537629,1,1,2,2,12,3,3,0,0,1,0,0,9,2,E01033926,3,1,0,1,2
2024440264821,2024,440264821,1,2,2,2,72,10,3,0,0,2,0,0,9,6,E01017214,-1,0,0.10799,0.89201,1
2024451432703,2024,451432703,1,1,1,1,44,7,2,0,0,0,0,0,9,7,E01030905,7,1,1,0,1
2024501461083,2024,501461083,2,1,1,1,32,6,2,0,0,0,0,0,3,1,E01018910,7,1,1,0,1
2024201524027,2024,201524027,1,1,1,2,29,6,2,0,0,0,0,0,9,8,E01010540,7,1,1,0,1
2024440082596,2024,440082596,2,2,2,1,9,2,2,0,0,2,0,0,9,-1,-1,-1,0,1,0,-1
2024141461384,2024,141461384,2,2,1,2,19,4,2,0,0,0,0,0,9,2,E01007385,7,1,1,0,1
2024221481099,2024,221481099,1,2,2,1,15,3,2,0,0,1,0,0,9,-1,-1,5,1,1,0,-1
2024411518155,2024,411518155,1,1,1,2,22,5,3,0,0,0,0,0,9,9,E01011272,3,1,0,1,5
2024991400703,2024,991400703,2,3,2,2,17,4,2,0,0,2,0,0,9,-1,-1,7,1,1,0,-1
2024991497249,2024,991497249,1,1,1,2,37,7,3,0,0,0,0,0,9,4,-1,3,1,0,1,1
2024340NN9102,2024,340NN9102,1,1,3,1,35,6,1,5,1,0,0,-1,0,8,E01035416,1,1,0,0,3
2024201444633,2024,201444633,2,1,1,2,-1,-1,2,0,0,0,0,0,2,1,E01008931,7,1,1,0,1
2024211417839,2024,211417839,3,1,1,1,28,6,2,0,0,0,0,0,9,-1,-1,6,1,1,0,-1
2024010504301,2024,010504301,1,1,1,1,35,6,3,0,0,0,0,0,19,3,E01003768,3,1,0,1,2
2024141480699,2024,141480699,1,2,2,2,16,4,2,0,0,0,0,0,9,1,E01019575,7,1,1,0,3
2024320310645,2024,320310645,3,5,1,2,32,6,1,0,0,0,0,0,9,7,E01015808,-1,0,0,0,5
2024320381540,2024,320381540,1,1,1,1,76,11,3,0,0,0,0,0,9,2,E01026050,-1,0,0.05927,0.94073,2
2024430595752,2024,430595752,2,1,1,1,30,6,3,0,0,0,0,0,9,10,E01016575,-1,0,0.00738,0.99262,4
2024440566551,2024,440566551,1,1,1,2,73,10,3,0,0,0,0,0,9,7,E01017017,-1,0,0.1283,0.8717,1
2024991450106,2024,991450106,2,1,1,1,17,4,2,0,0,0,0,0,23,1,-1,5,1,1,0,1
2024430499543,2024,430499543,1,1,3,2,64,9,3,5,3,0,0,0,0,10,E01016603,-1,0,0.07247,0.92753,1
2024501496573,2024,501496573,1,1,3,2,11,3,3,8,7,0,0,-1,0,7,E01020251,3,1,0,1,2
2024101533303,2024,101533303,2,1,1,1,53,8,2,0,0,0,0,0,1,1,E01008301,7,1,1,0,2
2024201483738,2024,201483738,2,1,1,1,51,8,2,0,0,0,0,0,1,7,E01009614,7,1,1,0,1
2024302500142,2024,302500142,2,1,1,1,18,4,2,0,0,0,0,0,1,4,E01013494,7,1,1,0,1
2024440400112,2024,440400112,2,1,1,2,13,3,2,0,0,0,0,0,1,4,E01022988,-1,0,1,0,1
2024552400466,2024,552400466,1,1,1,1,74,10,3,0,0,0,0,0,1,3,E01015439,-1,0,0.21634,0.78366,1
2024122400787,2024,122400787,1,1,3,2,10,2,3,5,1,0,0,0,0,5,E01025401,-1,0,0.10456,0.89544,4
2024430429158,2024,430429158,1,1,3,1,69,10,2,1,3,0,0,0,0,1,E01016845,-1,0,1,0,1
2024070131331,2024,070131331,2,1,1,1,83,11,3,0,0,0,0,0,1,10,E01018687,-1,0,0.17867,0.82133,1
2024131489706,2024,131489706,2,1,1,2,31,6,3,0,0,0,0,0,1,7,E01011351,3,1,0,1,1
2024320410602,2024,320410602,2,1,1,1,55,8,3,0,0,0,0,0,1,6,E01026058,-1,0,0.21395,0.78605,1
2024451508781,2024,451508781,1,1,1,1,25,5,3,0,0,0,0,0,1,4,E01030793,3,1,0,1,1
2024010531407,2024,010531407,1,1,1,1,33,6,3,0,0,0,0,0,3,8,E01004156,3,1,0,1,3
2024010532739,2024,010532739,2,1,1,1,27,6,2,0,0,0,0,0,3,7,E01000270,7,1,1,0,2
2024991460652,2024,991460652,1,1,3,2,60,9,2,5,3,0,0,-1,0,5,E01014035,7,1,1,0,5
2024991485929,2024,991485929,1,1,2,1,37,7,3,0,0,1,0,0,19,1,-1,3,1,0,1,5
2024101481252,2024,101481252,2,2,1,2,63,9,2,0,0,0,0,0,9,-1,-1,6,1,1,0,-1
2024131531323,2024,131531323,1,3,1,1,32,6,3,0,0,0,0,0,9,1,E01010735,3,1,0,1,2
2024631396759,2024,631396759,1,1,1,1,25,5,2,0,0,0,0,0,9,4,W01000542,6,1,1,0,1
2024440513142,2024,440513142,1,1,1,1,66,10,3,0,0,0,0,0,1,8,E01023090,-1,0,0.09998,0.90002,1
2024122401263,2024,122401263,1,1,1,1,38,7,3,0,0,0,0,0,9,2,E01033899,-1,0,0.02957,0.97043,4
2024411401612,2024,411401612,3,1,1,2,63,9,3,0,0,0,0,0,9,5,E01002440,3,1,0,1,3
2024010531517,2024,010531517,1,1,1,1,47,8,3,0,0,0,0,0,9,8,E01003679,3,1,0,1,1
2024201398917,2024,201398917,2,2,1,1,59,9,2,0,0,0,0,0,9,6,E01009714,6,1,1,0,1
2024610009524,2024,610009524,2,2,1,1,34,6,3,0,0,0,0,0,9,-1,-1,-1,0,0.17211,0.82789,-1
2024010512300,2024,010512300,1,2,2,2,40,7,3,0,0,0,4,0,11,8,E01004504,3,1,0,1,2
2024010494425,2024,010494425,1,1,1,1,40,7,3,0,0,0,0,0,9,3,E01003221,3,1,0,1,3
2024221473705,2024,221473705,3,1,1,2,48,8,3,0,0,0,0,0,9,5,E01032328,3,1,0,1,1
2024461397369,2024,461397369,2,1,1,2,56,9,3,0,0,0,0,0,9,8,E01024434,3,1,0,1,1
2024471536262,2024,471536262,1,1,1,2,72,10,3,0,0,0,0,0,9,1,E01020995,3,1,0,1,1
2024501486263,2024,501486263,1,1,1,2,50,8,3,0,0,0,0,0,9,2,E01015168,3,1,0,1,4
2024010545131,2024,010545131,1,1,1,-1,33,6,3,0,0,0,0,0,23,2,E01001432,3,1,0,1,1
2024052401036,2024,052401036,2,2,2,2,0,1,3,0,0,2,0,0,9,3,E01006671,-1,0,0.0144,0.9856,2
2024131491730,2024,131491730,2,1,1,1,43,7,3,0,0,0,0,0,9,5,E01011877,3,1,0,1,1
2024010504945,2024,010504945,1,1,1,1,44,7,3,0,0,0,0,0,9,3,E01000046,3,1,0,1,1
2024440303275,2024,440303275,1,1,2,2,76,11,3,0,0,1,0,0,9,5,E01033715,-1,0,0.07752,0.92248,5
2024610040124,2024,610040124,1,1,1,2,50,8,3,0,0,1,0,0,9,-1,-1,-1,0,0.14067,0.85933,-1
2024622400193,2024,622400193,1,1,1,2,35,6,3,0,0,0,0,0,9,-1,-1,-1,0,0.08407,0.91593,-1
2024010545640,2024,010545640,1,1,2,2,49,8,3,0,0,0,3,0,11,3,E01002787,3,1,0,1,1
2024351501146,2024,351501146,1,1,1,1,17,4,3,0,0,0,0,0,3,2,E01015680,3,1,0,1,2
2024471400815,2024,471400815,1,1,1,2,51,8,3,0,0,0,0,0,9,10,E01031760,3,1,0,1,1
2024991440067,2024,991440067,1,1,1,1,67,10,3,0,0,0,0,0,9,3,-1,3,1,0,1,3
2024041471831,2024,041471831,2,1,1,1,56,9,3,0,0,0,0,0,9,1,E01005509,3,1,0,1,4
2024122500105,2024,122500105,2,1,1,2,27,6,3,0,0,0,0,0,9,7,E01013022,-1,0,0.00364,0.99636,3
