collision_index,collision_year,collision_ref_no,vehicle_reference,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_imd_decile,lsoa_of_casualty,enhanced_casualty_severity,casualty_injury_based,casualty_adjusted_severity_serious,casualty_adjusted_severity_slight,casualty_distance_banding
2024991534042,2024,991534042,1,1,3,2,39,7,3,1,3,0,0,-1,0,-1,-1,3,1,0,1,-1
2024430342145,2024,430342145,2,1,1,2,25,5,3,0,0,0,0,0,1,4,E01028532,-1,0,0.02417,0.97583,1
2024471442093,2024,471442093,2,1,1,1,49,8,3,0,0,0,0,0,1,8,E01031491,3,1,0,1,1
2024101511084,2024,101511084,1,1,1,2,39,7,3,0,0,0,0,0,9,1,E01008859,3,1,0,1,1
2024161531062,2024,161531062,1,1,1,1,59,9,3,0,0,0,0,0,1,5,E01012902,3,1,0,1,1
2024421434943,2024,421434943,2,1,1,1,62,9,2,0,0,0,0,0,3,5,E01034081,5,1,1,0,4
2024010533954,2024,010533954,1,1,1,1,44,7,3,0,0,0,0,0,5,5,E01021790,3,1,0,1,3
2024131453448,2024,131453448,1,2,2,2,35,6,2,0,0,1,0,0,9,4,E01011447,7,1,1,0,1
2024010511909,2024,010511909,2,1,1,1,34,6,3,0,0,0,0,0,3,5,E01032741,3,1,0,1,4
2024070726166,2024,070726166,2,1,1,1,58,9,2,0,0,0,0,0,3,8,E01014131,7,1,1,0,4
2024041431001,2024,041431001,1,1,1,1,64,9,3,0,0,0,0,0,9,7,E01025089,3,1,0,1,4
2024221507586,2024,221507586,2,1,1,2,20,4,2,0,0,0,0,0,19,8,E01014002,7,1,1,0,3
2024201460272,2024,201460272,1,1,3,2,24,5,3,6,9,0,0,-1,0,9,E01010328,3,1,0,1,1
2024010497396,2024,010497396,1,1,1,2,44,7,3,0,0,0,0,0,2,6,E01004163,3,1,0,1,1
2024010497757,2024,010497757,1,5,2,2,-1,-1,3,0,0,2,0,0,9,3,E01001436,3,1,0,1,1
2024010516342,2024,010516342,2,2,1,1,20,4,3,0,0,0,0,0,9,8,E01024440,3,1,0,1,2
2024161433687,2024,161433687,1,1,1,1,25,5,2,0,0,0,0,0,9,-1,-1,5,1,1,0,-1
2024501530928,2024,501530928,1,1,1,1,79,11,3,0,0,0,0,0,9,9,E01019925,3,1,0,1,1
2024401476511,2024,401476511,2,1,2,1,15,3,3,0,0,0,4,0,11,3,E01015713,3,1,0,1,1
2024461485418,2024,461485418,1,2,1,1,21,5,3,0,0,0,0,0,3,6,E01024276,3,1,0,1,3
2024622400553,2024,622400553,1,1,1,1,43,7,3,0,0,0,0,0,9,-1,-1,-1,0,0.07398,0.92602,-1
2024401427857,2024,401427857,1,1,1,1,44,7,2,0,0,0,0,0,90,2,E01015743,5,1,1,0,1
202460Q033880,2024,60Q033880,1,1,2,2,66,10,2,0,0,0,4,0,11,-1,-1,-1,0,1,0,-1
2024010544936,2024,010544936,1,1,1,1,36,7,3,0,0,0,0,0,9,2,E01024154,3,1,0,1,4
2024101398247,2024,101398247,2,2,2,1,58,9,3,0,0,1,0,0,9,10,E01008548,3,1,0,1,1
202417M104724,2024,17M104724,2,1,1,2,37,7,3,0,0,0,0,0,9,1,E01012018,-1,0,0.03551,0.96449,1
2024201501710,2024,201501710,1,1,1,1,20,4,3,0,0,0,0,0,9,3,E01015757,3,1,0,1,5
2024547863324,2024,547863324,1,1,1,2,39,7,3,0,0,0,0,0,9,7,E01015560,-1,0,0.04234,0.95766,1
2024991463793,2024,991463793,1,1,2,1,58,9,2,0,0,1,0,0,9,4,-1,5,1,1,0,1
2024010512488,2024,010512488,1,1,3,2,35,6,3,1,9,0,0,0,0,8,E01031732,3,1,0,1,4
2024010533787,2024,010533787,1,1,1,1,23,5,3,0,0,0,0,0,9,7,E01003752,3,1,0,1,2
2024061510233,2024,061510233,2,1,1,1,21,5,3,0,0,0,0,0,9,2,E01005366,3,1,0,1,1
2024201439875,2024,201439875,2,1,2,2,28,6,3,0,0,1,0,0,9,10,E01010166,3,1,0,1,2
2024131529520,2024,131529520,1,1,3,2,52,8,2,10,9,0,0,-1,0,7,E01010977,7,1,1,0,1
2024010516970,2024,010516970,2,1,1,1,49,8,2,0,0,0,0,0,1,4,E01000875,6,1,1,0,1
2024371479913,2024,371479913,2,1,1,1,26,6,3,0,0,0,0,0,1,6,E01029992,3,1,0,1,1
2024201431872,2024,201431872,2,1,1,1,25,5,2,0,0,0,0,0,2,5,E01010223,7,1,1,0,3
2024302400743,2024,302400743,1,1,1,2,43,7,3,0,0,0,0,0,9,10,E01033532,-1,0,0.13864,0.86136,1
2024211467308,2024,211467308,2,1,1,1,20,4,3,0,0,0,0,0,9,-1,-1,3,1,0,1,-1
2024221425428,2024,221425428,1,1,1,1,69,10,3,0,0,0,0,0,9,5,E01035067,3,1,0,1,2
2024411395996,2024,411395996,2,1,1,2,19,4,3,0,0,0,0,0,9,10,E01023412,3,1,0,1,2
2024351423134,2024,351423134,2,1,1,2,16,4,3,0,0,0,0,0,1,6,E01015659,3,1,0,1,1
2024471426721,2024,471426721,1,1,1,2,35,6,2,0,0,0,0,0,1,-1,-1,5,1,1,0,-1
2024010491285,2024,010491285,1,1,1,1,35,6,3,0,0,0,0,0,3,-1,-1,3,1,0,1,-1
2024010495131,2024,010495131,2,2,2,1,35,6,3,0,0,2,0,0,8,9,E01035488,3,1,0,1,3
2024061490857,2024,061490857,2,1,1,1,74,10,2,0,0,0,0,0,9,10,E01004901,5,1,1,0,1
2024161528577,2024,161528577,1,1,1,2,-1,-1,3,0,0,0,0,0,9,-1,-1,3,1,0,1,-1
2024231422652,2024,231422652,2,1,1,1,19,4,3,0,0,0,0,0,9,3,E01031176,3,1,0,1,1
2024340WN3712,2024,340WN3712,2,2,2,1,12,3,3,0,0,2,0,0,9,-1,-1,3,1,0.05001,0.94999,-1
2024010498838,2024,010498838,1,1,2,2,41,7,3,0,0,0,3,0,11,3,E01001698,3,1,0,1,2
2024361403677,2024,361403677,1,1,1,1,62,9,2,0,0,0,0,0,9,6,E01026424,7,1,1,0,2
2024421411114,2024,421411114,1,1,1,1,23,5,2,0,0,0,0,0,9,3,E01024352,6,1,1,0,4
2024991448368,2024,991448368,1,2,1,1,29,6,3,0,0,0,0,0,9,2,-1,3,1,0,1,2
2024010528453,2024,010528453,1,1,1,1,19,4,3,0,0,0,0,0,1,3,E01004004,3,1,0,1,1
2024351440758,2024,351440758,2,1,1,1,7,2,3,0,0,0,0,0,1,8,E01032792,3,1,0,1,1
2024520402919,2024,520402919,1,1,1,1,18,4,3,0,0,0,0,0,3,8,E01014418,-1,0,0.15501,0.84499,1
2024061483186,2024,061483186,2,1,2,2,53,8,3,0,0,0,0,0,9,6,E01013253,3,1,0,1,4
2024440275424,2024,440275424,1,1,2,1,17,4,3,0,0,2,0,0,9,9,E01030893,-1,0,0.12096,0.87904,1
2024520402065,2024,520402065,2,1,1,2,31,6,3,0,0,0,0,0,9,7,E01029151,-1,0,0.02199,0.97801,2
2024991394520,2024,991394520,2,2,2,2,28,6,3,0,0,0,0,0,9,1,-1,3,1,0,1,1
2024411486622,2024,411486622,2,3,2,2,55,8,2,0,0,-1,0,0,5,8,E01021867,7,1,1,0,1
2024131451056,2024,131451056,1,2,1,1,18,4,3,0,0,0,0,0,9,1,E01011901,3,1,0,1,3
2024440433423,2024,440433423,1,1,2,2,49,8,3,0,0,1,0,0,9,7,E01022925,-1,0,0.1123,0.8877,3
2024501484479,2024,501484479,2,2,1,2,27,6,2,0,0,0,0,0,9,9,E01018848,5,1,1,0,1
2024991455489,2024,991455489,2,1,2,1,54,8,2,0,0,1,0,0,9,-1,-1,7,1,1,0,-1
2024522402664,2024,522402664,2,1,1,1,28,6,3,0,0,0,0,0,-1,3,E01014501,-1,0,0.06749,0.93251,1
2024010515471,2024,010515471,2,1,3,2,23,5,3,6,9,0,0,0,0,-1,-1,3,1,0,1,-1
2024430042706,2024,430042706,1,1,3,2,-1,-1,3,6,9,0,0,0,0,-1,-1,-1,0,0.03409,0.96591,-1
2024010517393,2024,010517393,1,1,1,1,52,8,3,0,0,0,0,0,1,6,E01000238,3,1,0,1,2
2024010530314,2024,010530314,1,1,1,-1,-1,-1,3,0,0,0,0,0,1,-1,-1,3,1,0,1,-1
2024010494548,2024,010494548,2,1,1,1,36,7,3,0,0,0,0,0,4,7,E01023901,3,1,0,1,3
2024201449721,2024,201449721,1,1,1,1,41,7,3,0,0,0,0,0,9,-1,-1,3,1,0,1,-1
2024211511938,2024,211511938,1,1,1,1,21,5,1,0,0,0,0,0,9,9,E01014347,1,1,0,0,1
2024552400987,2024,552400987,2,2,2,2,20,4,3,0,0,1,0,0,9,3,E01015308,-1,0,0.00634,0.99366,2
2024131463073,2024,131463073,1,1,3,2,80,11,2,6,9,0,0,-1,0,4,E01011545,7,1,1,0,1
2024522401255,2024,522401255,2,1,1,1,31,6,3,0,0,0,0,0,1,5,E01035223,-1,0,0.10161,0.89839,1
2024010488172,2024,010488172,1,1,1,2,44,7,3,0,0,0,0,0,9,3,E01001362,3,1,0,1,1
2024231451867,2024,231451867,2,1,1,1,77,11,3,0,0,0,0,0,9,9,E01031150,3,1,0,1,2
2024411416765,2024,411416765,2,1,1,2,47,8,3,0,0,0,0,0,9,7,E01023540,3,1,0,1,1
2024430175040,2024,430175040,2,1,1,1,53,8,3,0,0,0,0,0,9,8,E01016758,-1,0,0.12177,0.87823,4
2024991476991,2024,991476991,1,1,1,1,19,4,2,0,0,0,0,0,4,2,-1,7,1,1,0,3
2024371423097,2024,371423097,1,1,1,1,38,7,2,0,0,0,0,0,9,6,E01033043,5,1,1,0,4
2024991493582,2024,991493582,1,2,2,2,25,5,3,0,0,1,0,0,9,7,-1,3,1,0,1,2
2024451520495,2024,451520495,1,1,3,2,10,2,3,5,9,0,0,-1,0,-1,-1,3,1,0,1,-1
2024522401394,2024,522401394,3,2,1,1,65,9,3,0,0,0,0,0,3,8,E01014771,-1,0,0.14948,0.85052,2
2024101519201,2024,101519201,2,1,1,2,33,6,3,0,0,0,0,0,9,2,E01008698,3,1,0,1,1
2024221507611,2024,221507611,1,2,2,2,63,9,3,0,0,1,0,0,9,10,E01029628,3,1,0,1,3
2024440472190,2024,440472190,1,1,1,2,47,8,3,0,0,0,0,0,9,4,E01017260,-1,0,0.03262,0.96738,1
2024471506240,2024,471506240,2,2,1,2,20,4,3,0,0,0,0,0,9,7,E01031387,3,1,0,1,1
2024631458460,2024,631458460,1,1,1,2,72,10,3,0,0,0,0,0,9,8,W01000481,3,1,0,1,1
2024201497913,2024,201497913,1,1,3,1,29,6,3,5,9,0,0,-1,0,-1,-1,3,1,0,1,-1
2024231521181,2024,231521181,1,1,3,2,11,3,3,5,3,0,0,-1,0,4,E01031102,3,1,0,1,1
2024430471081,2024,430471081,1,1,3,2,4,1,1,5,3,0,0,0,0,3,E01016353,-1,0,0,0,1
2024010532905,2024,010532905,2,1,1,1,87,11,3,0,0,0,0,0,1,4,E01002551,3,1,0,1,1
2024320136496,2024,320136496,2,2,2,1,52,8,3,0,0,1,0,0,9,5,E01026232,-1,0,0.06413,0.93587,3
2024371472569,2024,371472569,1,1,1,2,22,5,3,0,0,0,0,0,9,7,E01018011,3,1,0,1,2
2024440197323,2024,440197323,1,5,1,1,19,4,3,0,0,0,0,0,9,8,E01032605,-1,0,0.08999,0.91001,1
2024991487997,2024,991487997,1,2,2,2,59,9,1,0,0,1,0,0,9,9,-1,1,1,0,0,1
2024221471575,2024,221471575,3,2,2,1,26,6,3,0,0,0,4,0,11,3,E01014145,3,1,0,1,1
2024101410740,2024,101410740,2,1,1,1,23,5,3,0,0,0,0,0,19,3,E01033545,3,1,0,1,1
2024131492402,2024,131492402,1,1,3,2,14,3,3,5,1,0,0,-1,0,2,E01011167,3,1,0,1,1
2024010540646,2024,010540646,2,1,1,1,35,6,3,0,0,0,0,0,1,3,E01003490,3,1,0,1,1
2024311441501,2024,311441501,1,2,1,1,67,10,1,0,0,0,0,0,5,1,E01013861,1,1,0,0,1
2024010511230,2024,010511230,1,1,1,2,32,6,3,0,0,0,0,0,9,-1,-1,3,1,0,1,-1
2024221421136,2024,221421136,2,3,2,1,3,1,3,0,0,2,0,0,9,-1,-1,3,1,0,1,-1
2024231503283,2024,231503283,1,1,1,2,25,5,3,0,0,0,0,0,9,1,E01009567,3,1,0,1,4
2024302401447,2024,302401447,1,1,1,1,88,11,3,0,0,0,0,0,9,8,E01019609,-1,0,0.11417,0.88583,2
2024201451521,2024,201451521,1,1,1,1,34,6,3,0,0,0,0,0,9,10,E01031235,3,1,0,1,4
2024201520311,2024,201520311,1,1,2,1,29,6,3,0,0,0,0,0,9,5,E01009279,3,1,0,1,1
2024440468745,2024,440468745,1,2,2,2,23,5,3,0,0,9,0,0,9,5,E01017055,-1,0,0.00451,0.99549,2
2024451413067,2024,451413067,1,1,3,1,63,9,2,8,5,0,0,-1,0,10,E01030770,5,1,1,0,3
2024010493026,2024,010493026,2,1,1,2,50,8,3,0,0,0,0,0,9,5,E01002229,3,1,0,1,4
2024010523755,2024,010523755,1,1,1,2,38,7,3,0,0,0,0,0,9,3,E01000032,3,1,0,1,1
2024061434532,2024,061434532,2,2,2,2,43,7,3,0,0,1,0,0,9,8,E01011716,3,1,0,1,4
2024201502861,2024,201502861,2,1,1,2,26,6,3,0,0,0,0,0,9,10,E01029674,3,1,0,1,4
2024401481797,2024,401481797,1,1,1,2,64,9,3,0,0,0,0,0,9,5,E01017412,3,1,0,1,1
2024440077824,2024,440077824,1,2,2,2,35,6,2,0,0,1,0,0,9,6,E01002220,-1,0,1,0,4
2024010551291,2024,010551291,1,1,3,1,33,6,3,6,9,0,0,0,0,-1,-1,3,1,0,1,-1
2024231499130,2024,231499130,2,2,2,2,3,1,3,0,0,2,0,0,9,7,E01035026,3,1,0,1,1
2024421517821,2024,421517821,1,1,1,2,31,6,3,0,0,0,0,0,9,4,E01021310,3,1,0,1,1
2024340WN2162,2024,340WN2162,1,1,1,1,24,5,3,0,0,0,0,0,19,5,E01016787,3,1,0.10172,0.89828,3
2024122400422,2024,122400422,2,1,1,2,36,7,3,0,0,0,0,0,9,7,E01013126,-1,0,0.03211,0.96789,2
2024522401767,2024,522401767,1,1,1,2,35,6,3,0,0,0,0,0,9,1,E01014517,-1,0,0.0201,0.9799,2
2024010541982,2024,010541982,1,1,3,1,30,6,3,10,9,0,0,0,0,2,E01000060,3,1,0,1,2
2024070971270,2024,070971270,1,1,3,2,39,7,3,5,3,0,0,-1,0,3,E01012523,3,1,0,1,1
2024010524864,2024,010524864,2,1,1,1,44,7,2,0,0,0,0,0,4,-1,-1,7,1,1,0,-1
2024201466540,2024,201466540,2,1,1,1,21,5,2,0,0,0,0,0,9,1,E01009412,7,1,1,0,2
2024221481483,2024,221481483,1,1,1,1,19,4,3,0,0,0,0,0,9,5,E01014045,3,1,0,1,3
2024401448957,2024,401448957,2,1,1,2,48,8,3,0,0,0,0,0,9,8,E01005770,3,1,0,1,5
2024010527914,2024,010527914,1,1,1,1,19,4,3,0,0,0,0,0,9,2,E01003245,3,1,0,1,1
2024101411723,2024,101411723,2,3,2,1,6,2,3,0,0,2,0,0,9,-1,-1,3,1,0,1,-1
2024122500118,2024,122500118,2,2,1,1,81,11,2,0,0,0,0,0,9,3,E01020886,-1,0,1,0,3
2024471509159,2024,471509159,1,1,1,1,18,4,3,0,0,0,0,0,9,8,E01031418,3,1,0,1,1
2024061434138,2024,061434138,1,1,1,1,28,6,3,0,0,0,0,0,1,1,E01005350,3,1,0,1,1
2024131413719,2024,131413719,2,1,1,1,39,7,3,0,0,0,0,0,9,1,E01011312,3,1,0,1,1
2024302400163,2024,302400163,2,1,1,2,20,4,3,0,0,0,0,0,9,2,E01013508,-1,0,0.01375,0.98625,1
2024552401289,2024,552401289,2,1,1,1,62,9,3,0,0,0,0,0,10,6,E01020439,-1,0,0.01478,0.98522,3
2024131463570,2024,131463570,1,1,1,1,60,9,3,0,0,0,0,0,9,2,E01011313,3,1,0,1,4
2024010510528,2024,010510528,1,1,3,1,16,4,2,1,1,0,0,0,0,3,E01002764,7,1,1,0,1
2024031532161,2024,031532161,1,2,3,1,15,3,3,1,1,0,0,-1,0,1,E01019141,3,1,0,1,1
2024131458486,2024,131458486,2,1,1,1,52,8,3,0,0,0,0,0,1,-1,-1,3,1,0,1,-1
2024531436166,2024,531436166,2,1,1,1,30,6,2,0,0,0,0,0,1,4,E01003114,7,1,1,0,5
2024461426977,2024,461426977,1,3,2,1,16,4,3,0,0,2,0,0,9,-1,-1,3,1,0,1,-1
2024311471041,2024,311471041,1,1,3,2,55,8,3,8,1,0,0,-1,0,6,E01028220,3,1,0,1,1
2024052400200,2024,052400200,1,1,1,1,-1,-1,3,0,0,0,0,0,9,2,E01006655,-1,0,0.08919,0.91081,3
202454D507924,2024,54D507924,2,2,1,2,54,8,3,0,0,0,0,0,19,10,E01022196,-1,0,0.02426,0.97574,4
2024161537930,2024,161537930,1,1,1,2,19,4,3,0,0,0,0,0,9,3,E01013319,3,1,0,1,3
2024010502680,2024,010502680,2,1,1,2,67,10,2,0,0,0,0,0,1,8,E01017006,6,1,1,0,4
2024320387392,2024,320387392,2,1,1,2,25,5,3,0,0,0,0,0,1,9,E01034698,-1,0,0.11027,0.88973,1
2024231447760,2024,231447760,2,1,1,2,25,5,3,0,0,0,0,0,9,9,E01035100,3,1,0,1,4
2024340WN1472,2024,340WN1472,1,1,3,2,11,3,2,8,1,0,0,-1,0,8,E01027193,5,1,1,0,1
2024430045774,2024,430045774,1,1,1,1,22,5,2,0,0,0,0,0,3,8,E01017788,-1,0,1,0,1
2024201535573,2024,201535573,1,1,1,2,21,5,3,0,0,0,0,0,9,10,E01009859,3,1,0,1,1
2024421482355,2024,421482355,1,2,1,1,32,6,3,0,0,0,0,0,9,3,E01021588,3,1,0,1,3
2024501438441,2024,501438441,1,1,1,1,30,6,3,0,0,0,0,0,9,4,E01020041,3,1,0,1,1
2024610051724,2024,610051724,1,1,1,1,23,5,3,0,0,1,0,0,9,-1,-1,-1,0,0.15886,0.84114,-1
2024010530621,2024,010530621,1,1,1,1,42,7,3,0,0,0,0,0,9,9,E01001067,3,1,0,1,1
2024041444941,2024,041444941,1,1,1,1,72,10,2,0,0,0,0,0,9,7,E01024999,5,1,1,0,1
2024430187911,2024,430187911,1,1,1,1,29,6,3,0,0,0,0,0,9,4,E01017904,-1,0,0.01073,0.98927,1
2024461497500,2024,461497500,1,1,1,2,39,7,3,0,0,0,0,0,9,6,E01024425,3,1,0,1,1
2024471500781,2024,471500781,1,1,1,2,60,9,3,0,0,0,0,0,9,9,E01010171,3,1,0,1,5
2024991468494,2024,991468494,1,1,1,2,58,9,2,0,0,0,0,0,9,7,-1,6,1,1,0,4
2024430583961,2024,430583961,1,1,3,1,14,3,3,5,1,0,0,0,0,6,E01017922,-1,0,0.05374,0.94626,1
2024131418255,2024,131418255,1,2,2,1,22,5,2,0,0,2,0,0,9,3,E01010669,7,1,1,0,1
2024320058759,2024,320058759,2,1,1,2,61,9,3,0,0,0,0,0,9,5,E01026232,-1,0,0.06617,0.93383,1
2024361442023,2024,361442023,2,3,2,1,3,1,3,0,0,2,0,0,9,-1,-1,3,1,0,1,-1
2024010515205,2024,010515205,1,1,3,1,23,5,2,5,1,0,0,0,0,9,E01002108,7,1,1,0,1
2024010531460,2024,010531460,1,1,3,-1,39,7,3,10,9,0,0,0,0,4,E01002867,3,1,0,1,1
2024430174504,2024,430174504,1,1,1,1,19,4,3,0,0,0,0,0,3,9,E01035267,-1,0,0.21124,0.78876,1
2024131514990,2024,131514990,2,3,2,2,13,3,3,0,0,1,0,0,9,10,E01010771,3,1,0,1,1
2024332400394,2024,332400394,1,1,1,1,21,5,3,0,0,0,0,0,9,3,E01025844,3,1,0,1,1
2024430098847,2024,430098847,1,1,1,2,56,9,2,0,0,0,0,0,22,1,E01016441,-1,0,1,0,1
2024010505692,2024,010505692,1,1,3,1,60,9,3,5,3,0,0,0,0,-1,-1,3,1,0,1,-1
2024201460272,2024,201460272,1,2,3,2,3,1,3,6,9,0,0,-1,0,9,E01010328,3,1,0,1,1
2024461487067,2024,461487067,1,1,3,2,31,6,3,6,9,0,0,-1,0,8,E01024845,3,1,0,1,1
2024010496615,2024,010496615,1,1,1,1,34,6,3,0,0,0,0,0,3,5,E01001686,3,1,0,1,1
2024010496257,2024,010496257,1,1,1,1,27,6,3,0,0,0,0,0,9,7,E01000147,3,1,0,1,1
2024430169367,2024,430169367,2,2,1,1,60,9,3,0,0,0,0,0,9,-1,-1,-1,0,0.02423,0.97577,-1
2024010550852,2024,010550852,1,1,3,1,31,6,3,5,3,0,0,0,0,2,E01002767,3,1,0,1,2
2024052402858,2024,052402858,1,1,3,1,19,4,2,5,3,0,0,0,0,2,E01006710,-1,0,1,0,1
2024201466595,2024,201466595,2,1,1,1,30,6,3,0,0,0,0,0,1,4,E01009243,3,1,0,1,1
2024451394924,2024,451394924,2,1,1,2,43,7,3,0,0,0,0,0,1,8,E01034286,3,1,0,1,1
2024010506106,2024,010506106,2,1,1,1,32,6,3,0,0,0,0,0,9,2,E01004035,3,1,0,1,1
2024101476879,2024,101476879,2,2,2,2,53,8,3,0,0,2,0,0,9,2,E01008173,3,1,0,1,1
2024332400155,2024,332400155,2,1,1,1,21,5,2,0,0,0,0,0,9,5,E01013671,5,1,1,0,1
2024361526794,2024,361526794,1,1,1,2,80,11,3,0,0,0,0,0,9,8,E01026653,3,1,0,1,1
2024461522570,2024,461522570,1,1,1,2,33,6,3,0,0,0,0,0,9,9,E01024431,3,1,0,1,1
2024010533521,2024,010533521,2,2,2,1,38,7,3,0,0,0,4,0,11,3,E01001722,3,1,0,1,1
2024201491972,2024,201491972,1,1,1,1,50,8,3,0,0,0,0,0,4,2,E01009740,3,1,0,1,1
2024461406289,2024,461406289,2,2,2,2,26,6,3,0,0,1,0,0,9,4,E01024373,3,1,0,1,2
2024531416350,2024,531416350,2,2,1,2,60,9,3,0,0,0,0,0,9,6,E01021070,3,1,0,1,5
2024010500562,2024,010500562,1,1,1,1,52,8,3,0,0,0,0,0,19,7,E01000683,3,1,0,1,1
2024991425128,2024,991425128,1,1,3,1,13,3,2,9,8,0,0,-1,0,7,-1,6,1,1,0,2
2024161444228,2024,161444228,2,1,1,1,35,6,3,0,0,0,0,0,1,1,E01012865,3,1,0,1,1
2024351468632,2024,351468632,2,1,1,2,20,4,2,0,0,0,0,0,1,6,E01034441,5,1,1,0,1
2024631512237,2024,631512237,2,1,1,1,71,10,2,0,0,0,0,0,5,8,W01000534,7,1,1,0,1
2024131450265,2024,131450265,1,1,1,1,23,5,2,0,0,0,0,0,9,4,E01010853,6,1,1,0,1
2024411412744,2024,411412744,2,2,1,2,46,8,3,0,0,0,0,0,9,8,E01023407,3,1,0,1,2
2024440218967,2024,440218967,2,2,1,1,31,6,3,0,0,0,0,0,9,2,E01022904,-1,0,0.08933,0.91067,1
2024552400573,2024,552400573,1,1,2,2,87,11,3,0,0,1,0,0,9,7,E01020540,-1,0,0.12989,0.87011,1
2024131474072,2024,131474072,1,1,1,1,47,8,3,0,0,0,0,0,9,7,E01032024,3,1,0,1,5
2024010494962,2024,010494962,1,1,3,1,36,7,3,9,7,0,0,0,0,7,E01035492,3,1,0,1,1
2024501470122,2024,501470122,1,1,1,1,64,9,3,0,0,0,0,0,5,1,E01015144,3,1,0,1,2
2024201492860,2024,201492860,2,1,1,1,36,7,3,0,0,0,0,0,9,5,E01009615,3,1,0,1,1
2024201533608,2024,201533608,2,2,1,1,27,6,3,0,0,0,0,0,9,9,E01029677,3,1,0,1,3
2024531519610,2024,531519610,2,2,1,2,45,7,3,0,0,0,0,0,9,3,E01022159,3,1,0,1,1
2024411503330,2024,411503330,1,2,3,2,44,7,3,10,9,0,0,-1,0,3,E01023300,3,1,0,1,1
2024631489778,2024,631489778,2,1,1,1,48,8,2,0,0,0,0,0,5,4,W01000683,6,1,1,0,3
2024430095147,2024,430095147,2,1,1,2,42,7,3,0,0,0,0,0,9,2,E01028520,-1,0,0.00391,0.99609,1
2024010504200,2024,010504200,1,1,1,1,28,6,3,0,0,0,0,0,1,2,E01000954,3,1,0,1,1
2024552400558,2024,552400558,1,1,1,1,64,9,3,0,0,0,0,0,5,2,E01031066,-1,0,0.24484,0.75516,5
2024010530186,2024,010530186,2,1,2,2,53,8,3,0,0,1,0,0,9,4,E01034287,3,1,0,1,2
2024451418537,2024,451418537,1,1,1,1,55,8,2,0,0,0,0,0,3,7,E01030662,5,1,1,0,1
2024070505441,2024,070505441,1,1,3,2,31,6,3,1,1,0,0,0,0,2,E01018498,-1,0,0.06558,0.93442,1
2024501520231,2024,501520231,1,1,3,2,11,3,3,6,7,0,0,-1,0,3,E01015084,3,1,0,1,1
2024471475668,2024,471475668,1,1,1,1,16,4,3,0,0,0,0,0,1,10,E01021023,3,1,0,1,1
2024101437766,2024,101437766,3,1,1,2,39,7,3,0,0,0,0,0,9,1,E01008817,3,1,0,1,2
2024010505240,2024,010505240,1,1,3,1,23,5,3,1,9,0,0,0,0,2,E01003553,3,1,0,1,1
2024161452973,2024,161452973,1,1,1,2,46,8,3,0,0,0,0,0,9,10,E01013215,3,1,0,1,1
2024221502565,2024,221502565,1,1,1,2,20,4,3,0,0,0,0,0,9,10,E01014102,3,1,0,1,3
2024221522839,2024,221522839,2,1,2,1,29,6,3,0,0,1,0,0,9,2,E01009098,3,1,0,1,4
2024471421059,2024,471421059,1,1,1,2,23,5,3,0,0,0,0,0,9,6,E01016935,3,1,0,1,1
2024010505316,2024,010505316,1,1,1,2,50,8,3,0,0,0,0,0,9,6,E01003742,3,1,0,1,1
2024052401381,2024,052401381,2,1,1,2,26,6,3,0,0,0,0,0,9,1,E01006746,-1,0,0.00597,0.99403,1
2024461531987,2024,461531987,1,2,1,2,83,11,3,0,0,0,0,0,9,6,E01024540,3,1,0,1,2
2024471478193,2024,471478193,1,1,1,1,25,5,2,0,0,0,0,0,9,5,E01022488,7,1,1,0,4
2024552400598,2024,552400598,1,1,3,1,11,3,3,5,2,0,0,0,0,6,E01020550,-1,0,0.07231,0.92769,1
2024161423139,2024,161423139,2,1,1,1,13,3,3,0,0,0,0,0,1,1,E01012864,3,1,0,1,1
2024131412977,2024,131412977,1,2,1,2,56,9,3,0,0,0,0,0,9,1,E01011721,3,1,0,1,1
2024161411850,2024,161411850,2,1,1,2,24,5,3,0,0,0,0,0,9,2,E01012992,3,1,0,1,2
2024461426899,2024,461426899,2,1,1,1,48,8,3,0,0,0,0,0,9,3,E01016030,3,1,0,1,2
2024041454557,2024,041454557,3,1,2,2,47,8,3,0,0,2,0,0,9,1,E01025230,3,1,0,1,1
2024411458289,2024,411458289,2,1,1,1,91,11,3,0,0,0,0,0,9,9,E01023968,3,1,0,1,1
2024471436210,2024,471436210,2,3,1,2,49,8,3,0,0,0,0,0,9,7,E01031478,3,1,0,1,1
2024622400584,2024,622400584,2,3,2,2,61,9,3,0,0,1,0,0,9,-1,-1,-1,0,0.03068,0.96932,-1
2024111484964,2024,111484964,1,2,2,2,30,6,3,0,0,-1,0,0,97,-1,-1,3,1,0,1,-1
2024010511948,2024,010511948,2,1,1,1,45,7,3,0,0,0,0,0,5,5,E01003219,3,1,0,1,1
2024031441584,2024,031441584,1,1,1,1,58,9,2,0,0,0,0,0,5,1,E01019193,7,1,1,0,4
2024471479612,2024,471479612,1,1,3,2,74,10,3,5,1,0,0,-1,0,7,E01031411,3,1,0,1,1
2024351539005,2024,351539005,2,2,2,2,46,8,3,0,0,1,0,0,8,1,E01015600,3,1,0,1,1
